Geschlecht,Alter,EInvestition1_pr_,EInvestition2_pr_,EInvestition3_pr_,Routine1_pr_,Routine2_pr_,Routine3_pr_,Sorglos1_pr_,Sorglos2_pr_,Sorglos3_pr_,Sorglos4_pr_,Ehandlung1_pr_,EHandlung2_pr_,EInvestition1_post,Einvestition2_post,EInvestition3_post,Routine1_post,Routine2_post,Routine3_post,Sorglos1_post,Sorglos2_post,Sorglos3_post,Sorglos4_post,EHandlung1_post,EHandlung2_post,Bildungsabschluss,Einkommen,BioV,Rebound,Gruppe_Bio,Bedingung
2,47,7,7,7,7,3,7,7,3,1,6,5,5,7,7,7,7,4,6,7,1,5,7,5,7,3,4,7,0.583333333333333,1,KG B
1,61,7,7,4,7,1,7,7,7,1,4,7,7,7,7,4,7,1,7,7,5,1,5,7,7,5,2,7,0.25,1,KG B
1,27,5,7,4,7,1,6,7,5,1,6,6,7,6,7,3,7,1,6,7,4,1,5,6,7,8,0,6.5,0,1,KG B
2,55,7,7,7,7,1,4,7,4,1,6,7,7,7,7,7,7,1,5,7,4,1,6,7,7,6,3,7,-0.08333333333333393,1,KG B
2,47,7,7,5,7,1,5,7,5,1,5,7,7,7,7,5,7,1,5,7,5,1,5,7,7,5,4,6.25,0,1,KG B
2,63,7,7,5,7,2,7,6,5,1,5,7,7,5,2,5,7,2,4,6,3,2,6,6,7,9,6,6.25,1.25,1,KG B
2,56,7,6,6,7,7,7,7,1,1,5,7,7,6,4,6,7,7,6,7,1,1,6,7,7,6,0,6.5,0.416666666666667,1,KG B
1,28,6,5,4,7,1,6,7,6,1,2,7,5,5,4,4,7,1,6,7,6,1,2,6,5,9,8,6,0.25,1,KG B
1,41,6,7,1,7,1,4,7,5,1,3,7,7,2,2,1,7,1,4,7,5,1,4,6,7,7,4,6,0.9166666666666661,1,KG B
2,51,7,7,7,7,4,5,7,2,1,7,7,7,3,4,6,7,3,5,7,1,1,7,7,7,5,3,6.5,0.666666666666667,1,KG B
2,61,6,6,6,6,1,6,6,3,1,5,6,6,6,6,6,6,1,6,6,3,1,6,6,6,5,3,6,0.08333333333333393,1,KG B
1,73,7,7,7,7,1,7,7,7,1,1,7,7,7,7,7,7,1,7,7,7,1,1,7,7,5,2,7,0,1,KG B
